Date,Net(lbs),From,To,NetTons,# of Cuts,Billable Tons
2026-01-10,16000,40C,401,8,2,16
2026-01-10,8950,40C,401,4.4749999999999996,2,8.9499999999999993
2026-01-10,12850,26C,260,6.4249999999999998,3,19.274999999999999
2026-01-10,24402,38C,384,12.201000000000001,3,36.603000000000002
2026-01-10,53900,32C,321,26.95,4,107.8
2026-01-14,40700,32C,321,20.350000000000001,5,101.75
2026-01-16,36250,50C,504,18.125,3,54.375
2026-01-18,36550,50C,504,18.274999999999999,3,54.824999999999996
2026-01-22,56200,35C,356,28.1,1,28.1
2026-01-05,19150,94C,944,9.5749999999999993,2,19.149999999999999
2026-01-05,12300,40C,401,6.15,2,12.3
,,,,,,
,,,,=SUM(E2:E12),,=SUM(G2:G12)
